source,kind,symbol,named_methods,disposition,reason,declared_responsibility
src/Coroutine/Exception/BarrierBrokenException.php,class,BarrierBrokenException,1,retain,"Structured concurrency, synchronization, task identity or lifecycle",Signals that a barrier generation can no longer complete successfully.
src/Coroutine/Exception/ChannelClosedException.php,class,ChannelClosedException,0,retain,"Structured concurrency, synchronization, task identity or lifecycle",Signals an operation attempted on a closed coroutine channel.
src/Coroutine/Exception/CoroutineDeadlockException.php,class,CoroutineDeadlockException,1,retain,"Structured concurrency, synchronization, task identity or lifecycle",Signals that the coroutine scheduler is idle while live tasks remain.
src/Coroutine/Exception/CoroutineOverflowException.php,class,CoroutineOverflowException,0,retain,"Structured concurrency, synchronization, task identity or lifecycle",Signals that a configured coroutine capacity limit has been exceeded.
src/Coroutine/Exception/FutureCompletedException.php,class,FutureCompletedException,0,retain,"Structured concurrency, synchronization, task identity or lifecycle",Indicates an attempt to complete an already-settled future.
src/Coroutine/Exception/InvalidSuspensionException.php,class,InvalidSuspensionException,0,retain,"Structured concurrency, synchronization, task identity or lifecycle",Indicates that a coroutine suspended outside a supported scheduler primitive.
src/Coroutine/Exception/SynchronizationException.php,class,SynchronizationException,0,retain,"Structured concurrency, synchronization, task identity or lifecycle",Base exception for coroutine synchronization failures.
src/Coroutine/Exception/TaskGroupException.php,class,TaskGroupException,2,retain,"Structured concurrency, synchronization, task identity or lifecycle",Reports one or more unhandled failures from a coroutine task group.
src/Coroutine/Future.php,class,Future,8,retain,"Structured concurrency, synchronization, task identity or lifecycle",Represents a value that will be completed asynchronously by a Deferred.
src/Coroutine/Internal/CancellationWait.php,class,CancellationWait,4,retain,"Structured concurrency, synchronization, task identity or lifecycle",Coordinates cancellation and deadline wake-ups for a suspended coroutine.  @internal
src/Coroutine/Internal/ChannelSendWaiter.php,class,ChannelSendWaiter,1,retain,"Structured concurrency, synchronization, task identity or lifecycle",Carries a pending channel send operation and its cancellation context.  @internal
src/Coroutine/Internal/FiberScheduler.php,class,FiberScheduler,29,retain,"Structured concurrency, synchronization, task identity or lifecycle",@internal
src/Coroutine/Internal/FutureState.php,class,FutureState,9,retain,"Structured concurrency, synchronization, task identity or lifecycle",@internal
src/Coroutine/Internal/FutureSuspension.php,class,FutureSuspension,3,retain,"Structured concurrency, synchronization, task identity or lifecycle",@internal
src/Coroutine/Internal/LoopWaitSuspension.php,class,LoopWaitSuspension,2,retain,"Structured concurrency, synchronization, task identity or lifecycle",@internal
src/Coroutine/Internal/PrimitiveWaiter.php,class,PrimitiveWaiter,1,retain,"Structured concurrency, synchronization, task identity or lifecycle",@internal
src/Coroutine/Internal/ReadyItem.php,class,ReadyItem,1,retain,"Structured concurrency, synchronization, task identity or lifecycle",@internal
src/Coroutine/Internal/ReadyQueue.php,class,ReadyQueue,5,retain,"Structured concurrency, synchronization, task identity or lifecycle",@internal
src/Coroutine/Internal/Suspension.php,interface,Suspension,1,retain,"Structured concurrency, synchronization, task identity or lifecycle",@internal
src/Coroutine/Internal/SuspensionState.php,class,SuspensionState,7,retain,"Structured concurrency, synchronization, task identity or lifecycle",@internal
src/Coroutine/Internal/TaskLocalState.php,class,TaskLocalState,6,retain,"Structured concurrency, synchronization, task identity or lifecycle",@internal
src/Coroutine/Mutex.php,class,Mutex,7,retain,"Structured concurrency, synchronization, task identity or lifecycle",Provides non-recursive mutual exclusion between coroutine tasks.
src/Coroutine/Network/AsyncConnection.php,class,AsyncConnection,19,retain,"Structured concurrency, synchronization, task identity or lifecycle",Provides coroutine-friendly waiting around a network connection.
src/Coroutine/Semaphore.php,class,Semaphore,7,retain,"Structured concurrency, synchronization, task identity or lifecycle",Limits concurrent coroutine access through a fixed permit count.
src/Coroutine/Task.php,class,Task,20,retain,"Structured concurrency, synchronization, task identity or lifecycle",Represents a scheduler-owned coroutine task and its completion state.
src/Coroutine/TaskLocal.php,class,TaskLocal,3,retain,"Structured concurrency, synchronization, task identity or lifecycle",Defines a task-local key with a default value and inheritance policy.
src/DatagramServer.php,class,DatagramServer,5,retain,"Public entry point, validated policy or request/cancellation ownership",Defines a UDP datagram server and its worker-scoped handler configuration.
src/Exception/ApplicationShutdownException.php,class,ApplicationShutdownException,1,retain,Consumer failure taxonomy and preserved failure information,Retains a primary runtime failure together with every shutdown failure.
src/Exception/ApplicationStartupException.php,class,ApplicationStartupException,1,retain,Consumer failure taxonomy and preserved failure information,Wraps a failure raised during a runtime application startup phase.
src/Exception/CancelledException.php,class,CancelledException,1,retain,Consumer failure taxonomy and preserved failure information,Reports cancellation together with its runtime reason.
src/Exception/ListenerException.php,class,ListenerException,0,retain,Consumer failure taxonomy and preserved failure information,Reports listener setup or lifecycle failures.
src/Exception/ProcessException.php,class,ProcessException,0,retain,Consumer failure taxonomy and preserved failure information,Base exception for managed process failures.
src/Exception/ProcessStartException.php,class,ProcessStartException,0,retain,Consumer failure taxonomy and preserved failure information,Reports a failure to start a managed process.
src/Exception/ProtocolException.php,class,ProtocolException,0,retain,Consumer failure taxonomy and preserved failure information,Base exception for wire-protocol parsing and framing failures.
src/Exception/RequestLifecycleException.php,class,RequestLifecycleException,1,retain,Consumer failure taxonomy and preserved failure information,Aggregates a request failure with failures raised during request reset.
src/Exception/RuntimeUnavailableException.php,class,RuntimeUnavailableException,0,retain,Consumer failure taxonomy and preserved failure information,Reports that a requested runtime capability is unavailable.
src/Exception/SupervisorException.php,class,SupervisorException,0,retain,Consumer failure taxonomy and preserved failure information,Reports supervisor lifecycle or worker-management failures.
src/FpmOptions.php,class,FpmOptions,2,retain,"Public entry point, validated policy or request/cancellation ownership",Configures request and response size limits for FPM execution.
src/FrankenPhpOptions.php,class,FrankenPhpOptions,2,retain,"Public entry point, validated policy or request/cancellation ownership",Configures FrankenPHP execution mode and payload limits.
src/Http/Enum/ProtocolVersion.php,enum,ProtocolVersion,0,retain,"Protocol value, validation, bounded wire state or transport responsibility",Identifies the HTTP protocol version negotiated for a request or connection.
src/Http/HeaderField.php,class,HeaderField,3,retain,"Protocol value, validation, bounded wire state or transport responsibility",Represents one validated HTTP header field.
src/Http/Headers.php,class,Headers,6,retain,"Protocol value, validation, bounded wire state or transport responsibility",Stores an ordered collection of validated HTTP header fields.
src/Http/Http1/Enum/ParserState.php,enum,ParserState,0,candidate W3,Private parser state candidate only if equivalent closed-state safety,Tracks the active state of the HTTP/1 request parser.
src/Http/Http1/Http1Connection.php,class,Http1Connection,33,retain,"Protocol value, validation, bounded wire state or transport responsibility",Parses and serves HTTP/1.1 exchanges over a single network connection.
src/Http/Http1/Http1Limits.php,class,Http1Limits,1,retain,"Protocol value, validation, bounded wire state or transport responsibility","Defines parser, buffering, response, and timeout limits for HTTP/1.1."
src/Http/Http1/Http1ResponseWriter.php,class,Http1ResponseWriter,25,retain,"Protocol value, validation, bounded wire state or transport responsibility",Serializes bounded HTTP/1.1 responses onto a network connection.
src/Http/Http1/Internal/ChunkSizeDecoder.php,class,ChunkSizeDecoder,2,retain,"Protocol value, validation, bounded wire state or transport responsibility",Decodes bounded HTTP/1.1 chunk-size lines.
src/Http/Http1/Internal/Http1Input.php,class,Http1Input,6,retain,"Protocol value, validation, bounded wire state or transport responsibility",Buffers and slices HTTP/1.1 bytes from a network connection.
src/Http/Http1/Internal/Http1Syntax.php,class,Http1Syntax,5,retain,"Protocol value, validation, bounded wire state or transport responsibility",Validates and parses HTTP/1.1 request-line and field syntax.
src/Http/Http1/Internal/ParseFailure.php,class,ParseFailure,1,retain,"Protocol value, validation, bounded wire state or transport responsibility",Carries the HTTP status associated with an HTTP/1.1 parse failure.
src/Http/Http1/Internal/RequestHead.php,class,RequestHead,1,retain,"Protocol value, validation, bounded wire state or transport responsibility",Holds validated HTTP/1.1 request framing metadata.
src/Http/Http1/Internal/RequestHeadValidator.php,class,RequestHeadValidator,7,retain,"Protocol value, validation, bounded wire state or transport responsibility",Validates HTTP/1.1 request framing and routing headers.
src/Http/Http1/Internal/WebSocketUpgradeOwner.php,class,WebSocketUpgradeOwner,7,retain,"Protocol value, validation, bounded wire state or transport responsibility",Owns HTTP/1 to WebSocket transport handoff without expanding parser responsibility.  @internal
src/Http/Http2/Enum/ErrorCode.php,enum,ErrorCode,0,retain,"Protocol value, validation, bounded wire state or transport responsibility",Defines HTTP/2 protocol error codes.
src/Http/Http2/Enum/FrameType.php,enum,FrameType,0,retain,"Protocol value, validation, bounded wire state or transport responsibility",Defines standard HTTP/2 frame type identifiers.
src/Http/Http2/Enum/StreamState.php,enum,StreamState,0,retain,"Protocol value, validation, bounded wire state or transport responsibility",Represents the HTTP/2 stream state machine states.
src/Http/Http2/Frame.php,class,Frame,3,retain,"Protocol value, validation, bounded wire state or transport responsibility",Represents one validated HTTP/2 frame.
src/Http/Http2/FrameParser.php,class,FrameParser,7,retain,"Protocol value, validation, bounded wire state or transport responsibility",Incrementally parses HTTP/2 frames from arbitrary byte chunks.
src/Http/Http2/FrameWriter.php,class,FrameWriter,6,retain,"Protocol value, validation, bounded wire state or transport responsibility",Encodes HTTP/2 frames and common control-frame payloads.
src/Http/Http2/Hpack/Decoder.php,class,Decoder,10,retain,"Protocol value, validation, bounded wire state or transport responsibility",Decodes bounded HPACK header blocks while maintaining dynamic-table state.
src/Http/Http2/Hpack/DynamicTable.php,class,DynamicTable,10,retain,"Protocol value, validation, bounded wire state or transport responsibility",Maintains the bounded HPACK dynamic header table.
src/Http/Http2/Hpack/Encoder.php,class,Encoder,7,retain,"Protocol value, validation, bounded wire state or transport responsibility",Encodes HTTP headers into HPACK blocks while maintaining dynamic-table state.
src/Http/Http2/Hpack/HpackException.php,class,HpackException,0,retain,"Protocol value, validation, bounded wire state or transport responsibility",Reports HPACK encoding and decoding failures.
src/Http/Http2/Hpack/HuffmanCodec.php,class,HuffmanCodec,4,retain,"Protocol value, validation, bounded wire state or transport responsibility",Encodes and decodes the HPACK static Huffman code.
src/Http/Http2/Hpack/HuffmanTable.php,class,HuffmanTable,0,retain,"Protocol value, validation, bounded wire state or transport responsibility",Provides the RFC 7541 static Huffman code tables used by HPACK.
src/Http/Http2/Hpack/IntegerCodec.php,class,IntegerCodec,4,retain,"Protocol value, validation, bounded wire state or transport responsibility",Encodes and decodes HPACK variable-length integers.
src/Http/Http2/Hpack/StaticTable.php,class,StaticTable,1,retain,"Protocol value, validation, bounded wire state or transport responsibility",Provides the RFC 7541 HPACK static header table.
src/Http/Http2/Http2Connection.php,class,Http2Connection,28,retain,"Protocol value, validation, bounded wire state or transport responsibility",Manages one native HTTP/2 server connection and its stream lifecycle.
src/Http/Http2/Http2Limits.php,class,Http2Limits,2,retain,"Protocol value, validation, bounded wire state or transport responsibility","Defines bounded resource, flow-control, buffering, and timeout limits for HTTP/2."
src/Http/Http2/Http2ResponseWriter.php,class,Http2ResponseWriter,12,retain,"Protocol value, validation, bounded wire state or transport responsibility",Writes bounded HTTP/2 responses through stream-aware scheduling callbacks.
src/Http/Http2/Internal/ConnectionError.php,class,ConnectionError,1,retain,"Protocol value, validation, bounded wire state or transport responsibility",Reports a connection-scoped HTTP/2 protocol failure.
src/Http/Http2/Internal/ControlFrameBudget.php,class,ControlFrameBudget,2,retain,"Protocol value, validation, bounded wire state or transport responsibility",Enforces a per-second budget for inbound HTTP/2 control frames.
src/Http/Http2/Internal/FlowController.php,class,FlowController,8,retain,"Protocol value, validation, bounded wire state or transport responsibility",Tracks HTTP/2 connection and stream flow-control windows.
src/Http/Http2/Internal/Http2Stream.php,class,Http2Stream,7,retain,"Protocol value, validation, bounded wire state or transport responsibility",Stores mutable state for one HTTP/2 stream.
src/Http/Http2/Internal/PendingHeaderBlock.php,class,PendingHeaderBlock,4,retain,"Protocol value, validation, bounded wire state or transport responsibility",Accumulates a bounded HTTP/2 HEADERS/CONTINUATION block.
src/Http/Http2/Internal/RequestStreamProcessor.php,class,RequestStreamProcessor,36,retain,"Protocol value, validation, bounded wire state or transport responsibility","Owns inbound HTTP/2 request-stream parsing, validation, and dispatch."
src/Http/Http2/Internal/ResponseScheduler.php,class,ResponseScheduler,24,retain,"Protocol value, validation, bounded wire state or transport responsibility",Schedules bounded HTTP/2 response frames across active streams.
src/Http/Http2/Internal/StreamError.php,class,StreamError,1,retain,"Protocol value, validation, bounded wire state or transport responsibility",Reports a stream-scoped HTTP/2 protocol failure.
src/Http/Http2/PeerSettings.php,class,PeerSettings,6,retain,"Protocol value, validation, bounded wire state or transport responsibility",Stores and applies settings advertised by an HTTP/2 peer.
src/Http/Http3/ControlStream.php,class,ControlStream,6,retain,"Protocol value, validation, bounded wire state or transport responsibility",Parses and validates the peer HTTP/3 control stream.
src/Http/Http3/Enum/ErrorCode.php,enum,ErrorCode,0,retain,"Protocol value, validation, bounded wire state or transport responsibility",Defines HTTP/3 and QPACK application error codes.
src/Http/Http3/Enum/FrameType.php,enum,FrameType,0,retain,"Protocol value, validation, bounded wire state or transport responsibility",Defines standard HTTP/3 frame type identifiers.
src/Http/Http3/Enum/SettingIdentifier.php,enum,SettingIdentifier,0,retain,"Protocol value, validation, bounded wire state or transport responsibility",Defines supported HTTP/3 SETTINGS identifiers.
src/Http/Http3/Enum/StreamType.php,enum,StreamType,0,retain,"Protocol value, validation, bounded wire state or transport responsibility",Defines HTTP/3 unidirectional stream type identifiers.
src/Http/Http3/Frame.php,class,Frame,2,retain,"Protocol value, validation, bounded wire state or transport responsibility",Represents one validated HTTP/3 frame.
src/Http/Http3/FrameParser.php,class,FrameParser,7,retain,"Protocol value, validation, bounded wire state or transport responsibility",Incrementally parses bounded HTTP/3 frames from arbitrary byte chunks.
src/Http/Http3/Http3Exception.php,class,Http3Exception,1,retain,"Protocol value, validation, bounded wire state or transport responsibility",Reports an HTTP/3 protocol failure with its application error code.
src/Http/Http3/Http3Limits.php,class,Http3Limits,7,retain,"Protocol value, validation, bounded wire state or transport responsibility","Defines bounded HTTP/3, QPACK, stream, buffering, and pump resource limits."
src/Http/Http3/Http3Options.php,class,Http3Options,3,retain,"Protocol value, validation, bounded wire state or transport responsibility","Defines HTTP/3 listener, polling, handshake, and resource-limit options."
src/Http/Http3/Http3ResponseWriter.php,class,Http3ResponseWriter,12,retain,"Protocol value, validation, bounded wire state or transport responsibility",Writes bounded HTTP/3 responses through stream-aware transport callbacks.
src/Http/Http3/Http3Session.php,class,Http3Session,9,retain,"Protocol value, validation, bounded wire state or transport responsibility",Coordinates HTTP/3 stream input with request dispatch and response writer creation.
src/Http/Http3/Internal/ConnectionState.php,class,ConnectionState,24,retain,"Protocol value, validation, bounded wire state or transport responsibility","Owns HTTP/3 connection-level stream, SETTINGS, and QPACK state."
src/Http/Http3/Internal/Http3TransportInterface.php,interface,Http3TransportInterface,3,retain,"Protocol value, validation, bounded wire state or transport responsibility",Defines the transport operations required by the HTTP/3 response scheduler.
src/Http/Http3/Internal/PeerUnidirectionalStream.php,class,PeerUnidirectionalStream,6,retain,"Protocol value, validation, bounded wire state or transport responsibility",Parses and tracks the type prefix of a peer HTTP/3 unidirectional stream.
src/Http/Http3/Internal/RequestStream.php,class,RequestStream,28,retain,"Protocol value, validation, bounded wire state or transport responsibility","Parses one HTTP/3 request stream and coordinates QPACK, body, and trailer state."
src/Http/Http3/Internal/ResponseScheduler.php,class,ResponseScheduler,26,retain,"Protocol value, validation, bounded wire state or transport responsibility","Queues, bounds, and flushes HTTP/3 response and QPACK encoder bytes."
src/Http/Http3/Internal/ResponseStream.php,class,ResponseStream,1,retain,"Protocol value, validation, bounded wire state or transport responsibility",Stores mutable outbound state for one HTTP/3 response stream.
src/Http/Http3/Qpack/BlockedFieldSectionException.php,class,BlockedFieldSectionException,1,retain,"Protocol value, validation, bounded wire state or transport responsibility",Reports a QPACK field section blocked on a future dynamic-table insert count.
src/Http/Http3/Qpack/CheckedInteger.php,class,CheckedInteger,2,retain,"Protocol value, validation, bounded wire state or transport responsibility",Performs checked non-negative integer arithmetic for attacker-controlled QPACK values.  @internal
src/Http/Http3/Qpack/DecodedFieldSection.php,class,DecodedFieldSection,1,retain,"Protocol value, validation, bounded wire state or transport responsibility",Carries a decoded QPACK field section and its dynamic-table reference metadata.
src/Http/Http3/Qpack/Decoder.php,class,Decoder,8,retain,"Protocol value, validation, bounded wire state or transport responsibility",Decodes QPACK field sections and manages blocked-stream acknowledgements.
src/Http/Http3/Qpack/DecoderInstruction.php,class,DecoderInstruction,1,retain,"Protocol value, validation, bounded wire state or transport responsibility",Represents one decoded QPACK decoder-stream instruction.
src/Http/Http3/Qpack/DecoderStreamDecoder.php,class,DecoderStreamDecoder,4,retain,"Protocol value, validation, bounded wire state or transport responsibility",Incrementally decodes peer QPACK decoder-stream instructions.
src/Http/Http3/Qpack/DecoderStreamEncoder.php,class,DecoderStreamEncoder,3,retain,"Protocol value, validation, bounded wire state or transport responsibility",Encodes local QPACK decoder-stream instructions.
src/Http/Http3/Qpack/DynamicTable.php,class,DynamicTable,22,retain,"Protocol value, validation, bounded wire state or transport responsibility",Maintains the bounded QPACK dynamic table and reference accounting.
src/Http/Http3/Qpack/EncodedFieldSection.php,class,EncodedFieldSection,1,retain,"Protocol value, validation, bounded wire state or transport responsibility",Carries an encoded QPACK field section and its blocking metadata.
src/Http/Http3/Qpack/Encoder.php,class,Encoder,19,retain,"Protocol value, validation, bounded wire state or transport responsibility",Encodes QPACK field sections while tracking peer acknowledgements and table references.
src/Http/Http3/Qpack/EncoderStreamDecoder.php,class,EncoderStreamDecoder,8,retain,"Protocol value, validation, bounded wire state or transport responsibility",Incrementally decodes peer QPACK encoder-stream instructions into a dynamic table.
src/Http/Http3/Qpack/EncoderStreamEncoder.php,class,EncoderStreamEncoder,4,retain,"Protocol value, validation, bounded wire state or transport responsibility",Encodes local QPACK encoder-stream instructions.
src/Http/Http3/Qpack/Enum/DecoderInstructionType.php,enum,DecoderInstructionType,0,retain,"Protocol value, validation, bounded wire state or transport responsibility",Identifies QPACK decoder-stream instruction kinds.
src/Http/Http3/Qpack/FieldSectionDecoder.php,class,FieldSectionDecoder,10,retain,"Protocol value, validation, bounded wire state or transport responsibility",Decodes one bounded QPACK field section against the dynamic table.
src/Http/Http3/Qpack/IntegerCodec.php,class,IntegerCodec,5,retain,"Protocol value, validation, bounded wire state or transport responsibility",Encodes and decodes QPACK prefixed integers.
src/Http/Http3/Qpack/ReadyFieldSection.php,class,ReadyFieldSection,1,retain,"Protocol value, validation, bounded wire state or transport responsibility",Associates a newly unblocked QPACK field section with its request stream.
src/Http/Http3/Qpack/SectionReference.php,class,SectionReference,1,retain,"Protocol value, validation, bounded wire state or transport responsibility",Tracks dynamic-table entries referenced by an outstanding encoded field section.
src/Http/Http3/Qpack/StaticTable.php,class,StaticTable,3,retain,"Protocol value, validation, bounded wire state or transport responsibility",Provides lookups for the RFC-defined QPACK static table.
src/Http/Http3/Qpack/StringCodec.php,class,StringCodec,3,retain,"Protocol value, validation, bounded wire state or transport responsibility",Encodes and decodes bounded QPACK string literals with optional Huffman coding.
src/Http/Http3/Quic/PhpQuicApi.php,class,PhpQuicApi,18,retain,"Protocol value, validation, bounded wire state or transport responsibility","Provides validated, late-bound access to the ext-quic PHP API surface."
src/Http/Http3/Quic/PhpQuicConnection.php,class,PhpQuicConnection,10,retain,"Protocol value, validation, bounded wire state or transport responsibility",Wraps an ext-quic connection behind a validated Runwire-facing API.
src/Http/Http3/Quic/PhpQuicEventMasks.php,class,PhpQuicEventMasks,2,retain,"Protocol value, validation, bounded wire state or transport responsibility","Groups validated, non-overlapping native QUIC readiness event masks."
src/Http/Http3/Quic/PhpQuicHttp3Connection.php,class,PhpQuicHttp3Connection,33,retain,"Protocol value, validation, bounded wire state or transport responsibility",Drives one native QUIC connection as an HTTP/3 server connection.
src/Http/Http3/Quic/PhpQuicHttp3Poller.php,class,PhpQuicHttp3Poller,10,retain,"Protocol value, validation, bounded wire state or transport responsibility",Builds and interprets readiness polls for native HTTP/3 QUIC objects.
src/Http/Http3/Quic/PhpQuicHttp3Worker.php,class,PhpQuicHttp3Worker,15,retain,"Protocol value, validation, bounded wire state or transport responsibility","Runs bounded HTTP/3 connection acceptance, handshakes, polling, and draining."
src/Http/Http3/Quic/PhpQuicListener.php,class,PhpQuicListener,11,retain,"Protocol value, validation, bounded wire state or transport responsibility",Wraps and validates a native ext-quic listener for HTTP/3 use.
src/Http/Http3/Quic/PhpQuicStream.php,class,PhpQuicStream,10,retain,"Protocol value, validation, bounded wire state or transport responsibility","Wraps a native ext-quic stream with validated read, write, and lifecycle operations."
src/Http/Http3/Quic/PhpQuicTransport.php,class,PhpQuicTransport,11,retain,"Protocol value, validation, bounded wire state or transport responsibility",Adapts native QUIC streams to the HTTP/3 response transport contract.
src/Http/Http3/Settings.php,class,Settings,7,retain,"Protocol value, validation, bounded wire state or transport responsibility",Stores validated HTTP/3 SETTINGS values and protocol defaults.
src/Http/Http3/SettingsCodec.php,class,SettingsCodec,3,retain,"Protocol value, validation, bounded wire state or transport responsibility",Encodes and decodes HTTP/3 SETTINGS frame payloads.
src/Http/Http3/VarIntCodec.php,class,VarIntCodec,4,retain,"Protocol value, validation, bounded wire state or transport responsibility",Encodes and decodes QUIC variable-length integers used by HTTP/3.
src/Http/HttpRequest.php,class,HttpRequest,1,retain,"Protocol value, validation, bounded wire state or transport responsibility",Represents a normalized HTTP request and its runtime request context.
src/Http/Internal/AuthorityValidator.php,class,AuthorityValidator,5,retain,"Protocol value, validation, bounded wire state or transport responsibility",Validates and canonicalizes HTTP authority values without accepting URI userinfo.
src/Http/Internal/BufferedRequestBody.php,class,BufferedRequestBody,8,retain,"Protocol value, validation, bounded wire state or transport responsibility",Exposes a fully buffered request body through the streaming body contract.
src/Http/Internal/CallbackResponseWriter.php,class,CallbackResponseWriter,11,retain,"Protocol value, validation, bounded wire state or transport responsibility",Adapts host callbacks to the common HTTP response writer contract.
src/Http/Internal/ContentLengthParser.php,class,ContentLengthParser,1,retain,"Protocol value, validation, bounded wire state or transport responsibility",Parses decimal Content-Length values with platform-safe integer bounds.
src/Http/Internal/HeaderValidationException.php,class,HeaderValidationException,0,retain,"Protocol value, validation, bounded wire state or transport responsibility",Reports invalid normalized HTTP request header or pseudo-header state.
src/Http/Internal/RequestHeaderValidator.php,class,RequestHeaderValidator,18,retain,"Protocol value, validation, bounded wire state or transport responsibility",Validates HTTP/2 and HTTP/3 request field sections into normalized request metadata.
src/Http/Internal/ResponseSemantics.php,class,ResponseSemantics,4,retain,"Protocol value, validation, bounded wire state or transport responsibility",Centralizes protocol-independent final-response body semantics.
src/Http/Internal/ResponseTerminalState.php,class,ResponseTerminalState,2,retain,"Protocol value, validation, bounded wire state or transport responsibility",Owns bounded exactly-once terminal response observers shared by all writers.  @internal
src/Http/Internal/StreamingRequestBody.php,class,StreamingRequestBody,23,retain,"Protocol value, validation, bounded wire state or transport responsibility",Buffers an incrementally received request body with bounded backpressure and cancellation hooks.
src/Http/Internal/ValidatedRequestHead.php,class,ValidatedRequestHead,1,retain,"Protocol value, validation, bounded wire state or transport responsibility",Carries normalized request-line metadata after protocol header validation.
src/Http/NativeHttpConnection.php,class,NativeHttpConnection,3,retain,"Protocol value, validation, bounded wire state or transport responsibility",Attaches a negotiated native stream connection to HTTP/1.1 or HTTP/2 handling.
src/Http/RequestBodyInterface.php,interface,RequestBodyInterface,7,retain,"Protocol value, validation, bounded wire state or transport responsibility","Defines incremental request-body consumption, notifications, and trailer access."
src/Http/ResponseTransfer.php,class,ResponseTransfer,8,retain,"Protocol value, validation, bounded wire state or transport responsibility",Copies an authorized stream into one response using bounded coroutine-aware backpressure.
src/Http/ResponseWriterInterface.php,interface,ResponseWriterInterface,7,retain,"Protocol value, validation, bounded wire state or transport responsibility",Defines streaming HTTP response lifecycle and backpressure operations.
src/Internal/MonotonicTime.php,class,MonotonicTime,4,retain,Shared safe monotonic-time operations,Provides checked monotonic-time conversion and deadline arithmetic.  @internal
src/Loop/EventLoop.php,class,EventLoop,17,retain,"Backend, timer ownership, portability or diagnostics contract",Adapts ext-event to Runwire's bounded loop contract without making the extension mandatory.
src/Loop/Internal/NativeSwooleReactor.php,class,NativeSwooleReactor,16,retain,"Backend, timer ownership, portability or diagnostics contract",@internal Bridges Runwire loop operations to the available Swoole/OpenSwoole reactor APIs.
src/Loop/Internal/SwooleReactorInterface.php,interface,SwooleReactorInterface,12,retain,"Backend, timer ownership, portability or diagnostics contract",@internal Defines the reactor operations needed by the Swoole-backed loop.
src/Loop/Internal/TimerQueue.php,class,TimerQueue,19,retain,"Backend, timer ownership, portability or diagnostics contract",Maintains one-shot and repeating loop timers in a deadline-ordered heap.
src/Loop/LoopDiagnosticsProviderInterface.php,interface,LoopDiagnosticsProviderInterface,1,retain,"Backend, timer ownership, portability or diagnostics contract",Exposes a point-in-time diagnostics snapshot for an event loop.
src/Loop/LoopDiagnosticsSnapshot.php,class,LoopDiagnosticsSnapshot,1,retain,"Backend, timer ownership, portability or diagnostics contract","Carries event-loop activity, latency, watcher, and callback-overrun diagnostics."
src/Loop/LoopFactory.php,class,LoopFactory,3,retain,"Backend, timer ownership, portability or diagnostics contract",Selects the best supported native event loop without weakening the portable fallback.
